Id,Name,Flag
AR,Arkansas,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arkansas.svg/1200px-Flag_of_Arkansas.svg.png
AS,American Samoa,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_American_Samoa.svg/1200px-Flag_of_American_Samoa.svg.png
CA,California,https://statesymbolsusa.org/sites/statesymbolsusa.org/files/primary-images/california-flag-bear-flag.jpg
CO,Colorado,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Flag_of_Colorado.svg/255px-Flag_of_Colorado.svg.png
CT,Connecticut,https://cdn11.bigcommerce.com/s-hhbbk/images/stencil/1280x1280/products/1450/49961/UNST0106__39591.1580596417.png?c=2
DC,District of Columbia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_the_District_of_Columbia.svg/2560px-Flag_of_the_District_of_Columbia.svg.png
DE,Delaware,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Flag_of_Delaware.svg/1200px-Flag_of_Delaware.svg.png
FL,Florida,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Florida.svg/255px-Flag_of_Florida.svg.png
GA,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_the_State_of_Georgia.svg/1200px-Flag_of_the_State_of_Georgia.svg.png
GU,Guam,https://cdn.britannica.com/61/69561-050-4B2E5EFC/Flag-Guam.jpg
HI,Hawaii,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Hawaii.svg/1200px-Flag_of_Hawaii.svg.png
IA,Iowa,https://cdn.britannica.com/19/1719-050-F52A41B9/state-flag-necessity-question-Iowa-World-War-1921.jpg
ID,Idaho,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_Idaho.svg/640px-Flag_of_Idaho.svg.png
IL,Illinois,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Illinois.svg/640px-Flag_of_Illinois.svg.png
IN,Indiana,https://www.stickertalk.com/wp-content/uploads/2019/01/D-15-32.jpg
KS,Kansas,https://cdn.britannica.com/79/1879-050-EBBFCA15/state-flag-Kansas-use-bottom-name-addition-1927.jpg
KY,Kentucky,https://cdn11.bigcommerce.com/s-e2nupsxogj/images/stencil/1200x1200/products/11910/40258/cnmcorfxr0gce4bur0p5__07191.1696874444.jpg?c=1
LA,Louisiana,https://www.sos.la.gov/HistoricalResources/PublishingImages/LouisianaStateSealRGBLarge.jpg
MA,Massachusetts,
MD,Maryland,https://cdn.britannica.com/38/2338-004-AE838B06/flag-Proprietor-state-Maryland-family-arms-Lord-1904.jpg
ME,Maine,https://upload.wikimedia.org/wikipedia/commons/d/df/Flag_of_the_State_of_Maine.svg
MI,Michigan,
MN,Minnesota,
MO,Missouri,
MP,Northern Mariana Islands,
MS,Mississippi,
MT,Montana,
NC,North Carolina,
ND,North Dakota,
NE,Nebraska,
NH,New Hampshire,
NJ,New Jersey,
NM,New Mexico,
NV,Nevada,
NY,New York,
OH,Ohio,
OK,Oklahoma,
OR,Oregon,
PA,Pennsylvania,
PR,Puerto Rico,
RI,Rhode Island,
SC,South Carolina,
SD,South Dakota,
TN,Tennessee,
TO,Toronto - Canada,
TT,Trust Territories,
TX,Texas,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Texas.svg/255px-Flag_of_Texas.svg.png
UT,Utah,
VA,Virginia,
VI,Virgin Islands,
VN,Vancouver - Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Flag_of_Vancouver.svg/255px-Flag_of_Vancouver.svg.png
VT,Vermont,
WA,Washington,
WI,Wisconsin,
WV,West Virginia,
WY,Wyoming,
